NAICS  Code,Kind of Business,Jan. 2020,Feb. 2020,Mar. 2020,Apr. 2020,May 2020,Jun. 2020,Jul. 2020,Aug. 2020,Sep. 2020,Oct. 2020,Nov. 2020,Dec. 2020,TOTAL
44812,Women's clothing stores,"3,259","3,227","1,458",450,991,"2,070","2,383","2,498","2,662","2,575","2,400","2,518",
4482,Shoe stores,"3,017","2,968","1,616",455,"1,571","2,882","2,645","2,270","3,048","2,968","2,692","2,830",
44831,Jewelry stores,"3,024","2,784","1,851",579,"1,444","2,825","3,069","3,288","3,493","3,309","3,245","3,493",
451,"Sporting goods, hobby, musical instrument, and book stores","6,759","6,769","5,642","3,771","6,680","8,552","8,108","7,526","8,127","8,026","7,887","7,737",
452,General merchandise stores,"60,594","60,699","65,710","57,089","61,069","62,024","61,745","61,180","63,602","62,700","61,892","60,743",
4521,Department stores,"11,014","10,956","8,939","6,334","8,915","9,750","9,714","9,636","10,567","10,073","9,408","8,924",
4529,Other general merchandise stores,"49,580","49,743","56,771","50,755","52,154","52,274","52,031","51,544","53,035","52,627","52,484","51,819",
45291,Warehouse clubs and superstores,"42,838","42,975","48,813","43,405","44,125","44,324","44,439","43,980","45,310","45,038","45,042","44,602",
45299,All other gen. merchandise stores,"6,742","6,768","7,958","7,350","8,029","7,950","7,592","7,564","7,725","7,589","7,442","7,217",
453,Miscellaneous stores retailers,"11,667","11,706","9,874","7,361","8,897","11,000","11,505","11,669","11,733","11,797","12,016","12,675",
454,Nonstore retailers,"65,240","65,600","68,433","76,629","81,508","78,600","80,675","82,235","80,842","83,254","82,192","74,599",
4541,Electronic shopping and mail order houses,"57,822","58,027","61,256","70,809","75,424","71,895","73,073","74,608","73,026","74,972","74,660","66,947",
45431,Fuel dealers,"2,589","2,559","2,367","2,338","2,428","2,389","2,447","2,523","2,586","2,438","2,264","2,568",
722,Food services and drinking places,"66,344","66,200","46,126","29,927","39,664","50,464","52,214","54,558","55,800","55,992","53,478","51,343",
