NAICS Code,Kind of Business,Jan. 2021,Feb. 2021,Mar. 2021,Apr. 2021,May 2021,Jun. 2021,Jul. 2021,Aug. 2021,Sep. 2021,Oct. 2021,Nov. 2021(p),CY CUM,PY CUM
722,Food services and drinking places,"52,757","50,627","65,145","67,346","72,458","72,508","76,455","74,397","71,311","74,677","69,771","747,452","569,986"
7224,Drinking places,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
7225,Restaurants and other eating places,"49,022","46,460","59,882","61,717","66,471","66,346","70,011","66,971","63,323","66,353","62,427","678,983","520,978"
722511,Full service restaurants,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"722513, 722514, 722515",Limited service eating places,"28,457","25,809","32,616","33,008","34,025","33,892","35,415","34,286","32,425","33,697","32,180","355,810","299,791"
,"Retail and food services sales, total","576,466","559,970","623,119","628,751","620,119","625,405","615,250","622,383","626,999","638,102","639,067",,
,Retail sales and food services excl motor vehicle and parts,"456,387","444,228","487,687","487,364","485,272","493,387","488,908","499,439","502,551","511,571","512,272",,
,Retail sales and food services excl gasoline stations,"535,571","517,767","576,666","582,943","573,483","577,097","565,769","572,079","574,956","584,254","584,041",,
,Retail sales and food services excl motor vehicle and parts and gasoline stations,"415,492","402,025","441,234","441,556","438,636","445,079","439,427","449,135","450,508","457,723","457,246",,
,"Retail sales, total","520,162","504,458","559,871","562,269","550,781","554,388","543,191","550,293","554,233","565,388","565,932",,
,"Retail sales, total (excl. motor vehicle and parts dealers)","400,083","388,716","424,439","420,882","415,934","422,370","416,849","427,349","429,785","438,857","439,137",,
,GAFO(1),"118,584","111,754","129,221","127,156","125,386","127,960","126,198","128,172","128,801","130,840","129,695",,
441,Motor vehicle and parts dealers,"120,079","115,742","135,432","141,387","134,847","132,018","126,342","122,944","124,448","126,531","126,795",,
"4411,4412",Automobile and other motor vehicle dealers,"111,475","107,294","125,883","131,730","125,454","122,755","117,040","113,501","115,063","116,869","117,256",,
4413,"Automotive parts, acc., and tire stores","8,604","8,448","9,549","9,657","9,393","9,263","9,302","9,443","9,385","9,662","9,539",,
"442,443","Furniture, home furn, electronics, and appliance stores","19,623","18,560","20,753","20,997","20,514","20,686","20,551","20,378","20,242","20,869","20,106",,
442,Furniture and home furnishings stores,"12,098","11,471","12,414","12,551","12,286","12,093","12,055","12,247","12,109","12,427","12,484",,
443,Electronics and appliance stores,"7,525","7,089","8,339","8,446","8,228","8,593","8,496","8,131","8,133","8,442","7,622",,
444,Building mat. and garden equip. and supplies dealers,"39,996","38,082","43,458","42,042","39,648","39,095","38,657","39,275","39,299","40,474","41,371",,
4441,Building mat. and supplies dealers,"34,710","32,784","38,080","36,699","34,804","34,078","33,621","33,974","34,143","35,080","35,918",,
445,Food and beverage stores,"72,730","72,343","72,955","73,492","74,349","75,073","74,630","76,288","76,646","77,445","77,778",,
4451,Grocery stores,"64,656","64,290","64,605","65,183","66,098","66,731","66,592","68,123","68,515","69,315","69,467",,
4453,"Beer, wine and liquor stores","5,936","5,907","6,112","6,070","5,976","6,034","5,726","5,854","5,839","5,846","5,936",,
446,Health and personal care stores,"30,204","29,691","32,081","32,113","31,138","32,559","32,389","32,624","32,304","31,907","32,208",,
44611,Pharmacies and drug stores,"25,548","24,805","27,078","27,080","26,351","27,746","27,615","27,710","27,854","27,056","27,089",,
447,Gasoline stations,"40,895","42,203","46,453","45,808","46,636","48,308","49,481","50,304","52,043","53,848","55,026",,
448,Clothing and clothing access. stores,"21,351","20,180","25,012","24,660","25,586","26,464","25,776","25,776","26,293","26,558","26,885",,
4481,Clothing stores,"14,174","13,643","16,518","16,610","17,187","17,751","17,428","17,303","17,502","17,468","17,704",,
44811,Men's clothing stores,435,460,588,605,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
